filename,mfcc_start,chroma_start,tempo_start,mfcc_end,chroma_end,tempo_end,uri
     - Sergei Rachmaninoff.webm.part,"-441.337646484375,120.27605438232422,-48.28761291503906,25.753156661987305,-11.223532676696777","0.2945607006549835,0.20839881896972656,0.30657851696014404,0.2012210339307785,0.42349973320961,0.1681825965642929,0.4788530766963959,0.5246134996414185,0.1289161890745163,0.15097352862358093,0.10565830022096634,0.3128134608268738",129.1992188,"-189.2366180419922,183.3691864013672,-32.30618667602539,18.716392517089844,-5.8437700271606445","0.17566899955272675,0.18604649603366852,0.5117318630218506,0.3329007625579834,0.16596747934818268,0.2968311905860901,0.21027955412864685,0.30692026019096375,0.233328714966774,0.3857821226119995,0.4034450352191925,0.15959800779819489",89.10290948,
   -  RAVE.mp3,"-18.580730438232422,80.53915405273438,-6.346328258514404,24.456541061401367,0.5679787397384644","0.39499613642692566,0.26901164650917053,0.5448222160339355,0.3883497714996338,0.7286283373832703,0.42610788345336914,0.2554609179496765,0.23764696717262268,0.26392537355422974,0.24360384047031403,0.24634799361228943,0.5359286665916443",129.1992188,"-513.35107421875,128.3071746826172,-23.06965446472168,4.326907157897949,-18.889312744140625","0.08605264127254486,0.14701958000659943,0.4759577512741089,0.1794242560863495,0.11313483119010925,0.3757518231868744,0.4916365146636963,0.6377843022346497,0.23606663942337036,0.26308104395866394,0.23561058938503265,0.13650575280189514",99.38401442,
 Deriva - colours in the dark.mp3,"-359.19952392578125,184.71270751953125,-15.976083755493164,-8.064889907836914,-0.02768418751657009","0.2781694829463959,0.18789122998714447,0.34377390146255493,0.6919259428977966,0.2849704623222351,0.16342772543430328,0.18492276966571808,0.32337531447410583,0.5501859188079834,0.3420495092868805,0.3187727928161621,0.4987059533596039",129.1992188,"-567.7904052734375,185.92506408691406,-16.599628448486328,-18.063669204711914,-18.155364990234375","0.09723806381225586,0.17887650430202484,0.1759330779314041,0.3931828439235687,0.13383203744888306,0.17041046917438507,0.12750720977783203,0.09761211276054382,0.2510276436805725,0.20864370465278625,0.6629012823104858,0.3414374589920044",129.1992188,
a song from yesterday - Forrest Nolan.mp3,"-307.6099853515625,125.03216552734375,4.080504894256592,28.084787368774414,2.8876500129699707","0.26196518540382385,0.438719242811203,0.3445127606391907,0.35157665610313416,0.3545631468296051,0.4329792857170105,0.4995744228363037,0.46888890862464905,0.4272421598434448,0.297227144241333,0.26625874638557434,0.2408909797668457",123.046875,"-411.2431945800781,53.1685676574707,20.965606689453125,17.86195945739746,9.967681884765625","0.2998301088809967,0.6072523593902588,0.4017404317855835,0.2105109691619873,0.12363467365503311,0.151824489235878,0.12821745872497559,0.07670142501592636,0.06760451197624207,0.08924504369497299,0.12152442336082458,0.1437867134809494",135.9991776,spotify:track:1rIvV3vogPZDoEz4Ra0bei
abcdefu - GAYLE.mp3,"-283.70086669921875,123.09814453125,-6.210601806640625,-11.421666145324707,-8.833545684814453","0.603400468826294,0.5704638957977295,0.5643641948699951,0.6028792262077332,0.6466095447540283,0.5932337641716003,0.5759919881820679,0.5975815057754517,0.6160241961479187,0.5542193055152893,0.555759608745575,0.6018782258033752",129.1992188,"-310.4791259765625,20.792171478271484,-6.97993803024292,-11.301775932312012,-16.171701431274414","0.1730457842350006,0.2052665799856186,0.21354706585407257,0.3081745505332947,0.32354307174682617,0.193899005651474,0.20525431632995605,0.2400766760110855,0.333188533782959,0.2131638377904892,0.18298791348934174,0.1997920125722885",123.046875,spotify:track:4fouWK6XVHhzl78KzQ1UjL
ad meliora - THE CHARM PARK.mp3,"-238.51185607910156,141.65087890625,38.787010192871094,-0.01236521266400814,6.2494425773620605","0.44698646664619446,0.4189060628414154,0.4094209671020508,0.4105765223503113,0.6461514234542847,0.4671885073184967,0.2947862148284912,0.3303200304508209,0.27721866965293884,0.2553255259990692,0.3116440176963806,0.5146062970161438",129.1992188,"-274.9800109863281,134.86460876464844,42.66993713378906,-3.1584949493408203,4.821161270141602","0.35460540652275085,0.43958383798599243,0.26446813344955444,0.3247016966342926,0.6938422322273254,0.3027470111846924,0.1373857855796814,0.1621398776769638,0.2959802746772766,0.4441240727901459,0.3535028100013733,0.4112189710140228",135.9991776,spotify:track:4rzw37fRwEoUDx7gulKKHN
affection - BETWEEN FRIENDS.mp3,"-281.34869384765625,186.4132537841797,-66.11612701416016,36.36304473876953,5.686248779296875","0.09281868487596512,0.22361037135124207,0.6625446677207947,0.23918366432189941,0.08241021633148193,0.12576819956302643,0.625343382358551,0.24532999098300934,0.14978516101837158,0.23994283378124237,0.17802877724170685,0.19640253484249115",172.265625,"-509.6383056640625,57.01535415649414,-25.819202423095703,7.709805965423584,-4.938732624053955","0.10460566729307175,0.33178621530532837,0.3234753906726837,0.15335384011268616,0.24094218015670776,0.1085963323712349,0.05972633510828018,0.052749261260032654,0.06579403579235077,0.0795876607298851,0.05845221132040024,0.0814913958311081",172.265625,spotify:track:4LyIHEDbAWDeKV0JbVZae9
aftermath - vaultboy.mp3,"-198.5148468017578,95.70691680908203,33.20707321166992,8.655701637268066,10.90855884552002","0.14916831254959106,0.22472402453422546,0.14588162302970886,0.15120865404605865,0.2248498499393463,0.19303476810455322,0.25616636872291565,0.2506515383720398,0.3889661431312561,0.7143064141273499,0.42295050621032715,0.2244752198457718",117.4538352,"-401.00958251953125,109.46533966064453,6.725863933563232,13.079021453857422,4.582667350769043","0.14788822829723358,0.17463168501853943,0.11511234939098358,0.1523503214120865,0.26943281292915344,0.15268903970718384,0.13699497282505035,0.09990324825048447,0.2588401734828949,0.5013009905815125,0.3102332055568695,0.2203723043203354",123.046875,spotify:track:4nzBST9JdZIy9qfilr93Po
afterthoughts - renforshort.mp3,"-426.4697570800781,94.55663299560547,-2.6580076217651367,-0.6118978261947632,11.37381649017334","0.6652237176895142,0.6449441909790039,0.5893527269363403,0.5835459232330322,0.5572518706321716,0.5299227237701416,0.5543391704559326,0.5821604132652283,0.5700528621673584,0.6037217378616333,0.6327875852584839,0.6289654970169067",92.28515625,"-376.85650634765625,69.8323745727539,13.855246543884277,25.267698287963867,12.079021453857422","0.3827253580093384,0.5042109489440918,0.29635390639305115,0.1277182549238205,0.15556985139846802,0.27582985162734985,0.22045180201530457,0.18076303601264954,0.18280494213104248,0.1614612340927124,0.24589678645133972,0.251012921333313",123.046875,spotify:track:1ERCrZMVMSpqDW4zmr4sRc
again - YUI.mp3,"-101.34980773925781,85.67865753173828,-31.913171768188477,37.03563690185547,-9.74400806427002","0.3088623881340027,0.3380284607410431,0.5780698657035828,0.3437606990337372,0.4192967712879181,0.268223375082016,0.37123119831085205,0.3466576635837555,0.34755685925483704,0.5219021439552307,0.32404452562332153,0.43502700328826904",135.9991776,"-540.8532104492188,80.82624053955078,36.910888671875,25.482553482055664,16.81739616394043","0.25347307324409485,0.2250874936580658,0.34459713101387024,0.4768125116825104,0.7374956011772156,0.6802383661270142,0.6191797256469727,0.3263978660106659,0.11284656077623367,0.09381398558616638,0.18763402104377747,0.3454650342464447",129.1992188,spotify:track:4OQq1bcP12GQQXJNupxqfR
